Municipio,Departamento,Votos para senado 2014,Porcentaje de Oscar Ivan Zuluaga (1ra vuelta),Total (1ra vuelta),Participacion (1ra vuelta),Ganador (1ra vuelta),Porcentaje de Oscar Ivan Zuluaga (2da vuelta),Total (2da vuelta),Participacion (2da vuelta),Ganador,Censo electoral 2016,Actos terroristas,Amenaza,Desplazamiento,Homicidio,Secuestro,Vinculacion de Niños y Adolescentes,Minas Antipersonal,Abandono o Despojo de Tierras,Afectado por el conflicto (Pares),Afectado por el conflicto (Pares)2,Votos por el No,No,Votos por el Si,Si,Votos validos,Votos totales,Cuantos salieron a votar,ind ruralidad 2014,Zonas de concentracion,Cultivos ilicitos,Hectareas de coca,Hectareas de amapola
SUBACHOQUE,CUNDINAMARCA,3469,36.40%,6332,59.57%,Zuluaga,69.25%,6612,62.20%,Zuluaga,11191,0,0.61,3.16,0.3,0,0,0,0,Ninguno,0,4070,0.688896412,1838,0.311103588,5908,6019,53.78%,62.36%,No,No,0,0
SUESCA,CUNDINAMARCA,3179,10.79%,5154,54.63%,Ramirez,36.03%,5254,55.69%,Santos,9730,0.06,0,0.45,0.45,0,0,0,0,Ninguno,0,2620,0.572552448,1956,0.427447552,4576,4738,48.69%,50.71%,No,No,0,0
SUPATA,CUNDINAMARCA,1566,50.32%,1735,41.55%,Zuluaga,74.71%,2179,52.18%,Zuluaga,4154,0,1.99,20.66,11.72,0,0,0,0,Ninguno,0,942,0.621372032,574,0.378627968,1516,1565,37.67%,70.35%,No,No,0,0
SUSA,CUNDINAMARCA,1313,16.89%,2209,43.73%,Ramirez,65.64%,2634,52.14%,Zuluaga,5102,0,0.16,1.19,0,0,0,0,0,Ninguno,0,949,0.475212819,1048,0.524787181,1997,2094,41.04%,48.74%,No,No,0,0
SUTATAUSA,CUNDINAMARCA,933,27.19%,1990,54.09%,Ramirez,74.08%,2176,59.15%,Zuluaga,3746,0.18,0.18,0,0,0,0,0,0,Ninguno,0,996,0.638871071,563,0.361128929,1559,1615,43.11%,68.85%,No,No,0,0
TABIO,CUNDINAMARCA,4104,23.48%,7952,57.56%,Ramirez,52.05%,8041,58.21%,Zuluaga,14659,0.04,0,1.12,0.29,0.04,0,0,0,Ninguno,0,3983,0.550746681,3249,0.449253319,7232,7386,50.39%,51.55%,No,No,0,0
TAUSA,CUNDINAMARCA,1360,27.36%,2869,51.91%,Ramirez,81.90%,3183,57.59%,Zuluaga,5720,0,0.11,2.47,1.01,0,0,0,0,Ninguno,0,1886,0.719024018,737,0.280975982,2623,2705,47.29%,88.08%,No,No,0,0
TENA,CUNDINAMARCA,2141,38.30%,2509,41.47%,Zuluaga,54.71%,2910,48.10%,Zuluaga,6197,0.11,0.66,16.18,2.31,0,0,0,0,Ninguno,0,1028,0.453662842,1238,0.546337158,2266,2308,37.24%,90.67%,No,No,0,0
TENJO,CUNDINAMARCA,4128,27.13%,7616,58.28%,Zuluaga,52.50%,7668,58.68%,Zuluaga,14029,0.35,0,1.65,1.1,0,0,0,0,Ninguno,0,3968,0.577499636,2903,0.422500364,6871,6984,49.78%,52.79%,No,No,0,0
TIBACUY,CUNDINAMARCA,1168,48.51%,1548,42.55%,Zuluaga,56.64%,1831,50.33%,Zuluaga,3706,1.24,32.71,302.42,24.01,2.07,0.21,0,0,Ninguno,0,681,0.466758053,778,0.533241947,1459,1508,40.69%,89.13%,No,No,0,0
TIBIRITA,CUNDINAMARCA,1196,31.10%,1029,33.93%,Zuluaga,58.63%,1390,45.83%,Zuluaga,3018,0,0.68,17.99,0.68,0,0,0,0,Ninguno,0,357,0.348632813,667,0.651367188,1024,1064,35.26%,83.33%,No,No,0,0
TOCAIMA,CUNDINAMARCA,4341,39.86%,5249,41.08%,Zuluaga,49.33%,6440,50.40%,Zuluaga,12896,0.38,1.41,34.92,7.03,0.11,0.11,0,0,Ninguno,0,2249,0.488913043,2351,0.511086957,4600,4680,36.29%,40.73%,No,No,0,0
TOCANCIPA,CUNDINAMARCA,6777,21.46%,13502,61.79%,Ramirez,40.06%,12631,57.80%,Santos,24441,0.03,0.06,0.82,1.04,0.03,0,0,0,Ninguno,0,6865,0.580010139,4971,0.419989861,11836,12199,49.91%,57.59%,No,No,0,0
TOPAIPI,CUNDINAMARCA,1420,46.15%,1623,39.74%,Zuluaga,48.39%,1982,48.53%,Santos,4060,1.55,89.3,667.18,64.48,0.66,0.66,1.77,0,Ninguno,0,656,0.442943957,825,0.557056043,1481,1546,38.08%,82.30%,No,No,0,0
UBALA,CUNDINAMARCA,2580,36.65%,2671,31.72%,Zuluaga,61.74%,3408,40.47%,Zuluaga,8478,0.76,6.42,86.39,15.67,0.28,0.19,0.57,0,Ninguno,0,1541,0.587495234,1082,0.412504766,2623,2727,32.17%,88.22%,No,No,0,0
UBAQUE,CUNDINAMARCA,1666,44.20%,2577,47.04%,Zuluaga,69.64%,2951,53.87%,Zuluaga,5660,0.33,1.47,37.5,7.21,0.98,0,0,0,Ninguno,0,1197,0.566761364,915,0.433238636,2112,2182,38.55%,85.93%,No,No,0,0
UBATE,CUNDINAMARCA,6436,17.14%,13464,46.62%,Ramirez,62.25%,14272,49.41%,Zuluaga,30807,0.05,2.08,10.69,1.51,0.08,0,0.15,0,Ninguno,0,7985,0.618656543,4922,0.381343457,12907,13247,43.00%,35.46%,No,No,0,0
UNE,CUNDINAMARCA,2876,51.29%,2827,46.73%,Zuluaga,69.82%,3605,59.60%,Zuluaga,6307,0.54,4.29,74.5,13.95,1.07,0.43,0.54,0,Ninguno,0,1606,0.55341144,1296,0.44658856,2902,2954,46.84%,50.56%,No,No,0,0
UTICA,CUNDINAMARCA,1977,64.29%,1977,43.10%,Zuluaga,72.67%,2558,55.77%,Zuluaga,4700,4.78,11.76,212.12,24.32,0.2,0.2,0,0,Ninguno,0,1184,0.657777778,616,0.342222222,1800,1837,39.09%,45.65%,No,No,0,0
VERGARA,CUNDINAMARCA,2173,60.18%,2496,35.65%,Zuluaga,72.42%,2737,39.09%,Zuluaga,7346,0.39,3.64,80.69,10.15,0.39,0,0,0,Ninguno,0,1084,0.485880771,1147,0.514119229,2231,2317,31.54%,80.35%,No,No,0,0
VIANI,CUNDINAMARCA,1173,50.22%,1567,41.13%,Zuluaga,61.00%,1928,50.60%,Zuluaga,3867,0.48,1.19,23.32,5.47,0.24,0,0,0,Ninguno,0,673,0.481057898,726,0.518942102,1399,1441,37.26%,68.43%,No,No,0,0
VILLAGOMEZ,CUNDINAMARCA,752,33.64%,758,40.00%,Santos,46.63%,993,52.40%,Santos,1915,0.46,53.77,227.02,26.65,0,0,0,0,Ninguno,0,375,0.654450262,198,0.345549738,573,607,31.70%,71.55%,No,No,0,0
VILLAPINZON,CUNDINAMARCA,2956,33.38%,6827,55.51%,Ramirez,77.84%,7436,60.46%,Zuluaga,12800,0.7,1.05,35.9,2.99,0.05,0,0.15,0,Ninguno,0,4039,0.708596491,1661,0.291403509,5700,5830,45.55%,66.99%,No,No,0,0
VILLETA,CUNDINAMARCA,7815,53.16%,9678,45.88%,Zuluaga,71.67%,11583,54.91%,Zuluaga,21862,0.12,1.46,42.7,12.27,0.51,0.28,0,0,Ninguno,0,5842,0.648606639,3165,0.351393361,9007,9149,41.85%,35.92%,No,No,0,0
VIOTA,CUNDINAMARCA,3109,52.19%,4127,41.62%,Zuluaga,58.07%,5151,51.95%,Zuluaga,10358,4.5,37.25,861.86,55.91,2.55,0.22,0,0,Ninguno,0,2006,0.513700384,1899,0.486299616,3905,3993,38.55%,67.65%,No,No,0,0
YACOPI,CUNDINAMARCA,3553,56.06%,3352,29.20%,Zuluaga,57.59%,4798,41.79%,Zuluaga,11457,1.12,8.7,315.4,27.57,0.59,0.12,0,0,Ninguno,0,1772,0.569591771,1339,0.430408229,3111,3227,28.17%,76.86%,No,No,0,0
ZIPACON,CUNDINAMARCA,1451,32.99%,2131,55.77%,Zuluaga,55.20%,2308,60.40%,Zuluaga,4091,0,0.89,0.89,1.78,0,0,0,0,Ninguno,0,1071,0.526807673,962,0.473192327,2033,2066,50.50%,62.90%,No,No,0,0
ZIPAQUIRA,CUNDINAMARCA,22759,15.02%,42273,55.49%,Ramirez,35.48%,41735,54.78%,Santos,82209,0,0.17,0.96,0.43,0.02,0,0,0,Ninguno,0,21680,0.515846578,20348,0.484153422,42028,42955,52.25%,12.38%,No,No,0,0
QUIBDO,CHOCO,21832,23.47%,24692,33.51%,Santos,36.62%,28543,38.74%,Santos,80380,3.84,21.74,372.62,22.49,1.59,0.3,0.15,0,Alto,3,7159,0.26109632,20260,0.73890368,27419,28522,35.48%,7.26%,No,Si,5.76,0
ACANDI,CHOCO,2464,24.06%,2639,33.33%,Santos,28.19%,3327,42.02%,Santos,8345,7.89,143.71,1718.67,59.86,10.84,0.21,0.21,0,Ninguno,0,485,0.236239649,1568,0.763760351,2053,2105,25.22%,45.83%,No,Si,3.34,0
ALTO BAUDO,CHOCO,3375,3.79%,2721,30.32%,Santos,11.48%,1150,12.81%,Santos,9515,0.98,19.31,694.19,5.07,1.33,0.5,0.05,0,Alto,3,234,0.073677582,2942,0.926322418,3176,3217,33.81%,74.21%,No,Si,47.87,0
ATRATO,CHOCO,3270,19.00%,2647,30.35%,Santos,32.09%,2911,33.38%,Santos,8224,1.77,21.68,338.89,4.41,1.37,0.1,0.39,0,Intermedio,2,504,0.19504644,2080,0.80495356,2584,2675,32.53%,64.91%,No,No,0,0
BAGADO,CHOCO,2087,21.94%,1595,18.38%,Santos,22.90%,2218,25.56%,Santos,8376,124.38,193.99,2027.45,16.22,14.85,1.5,0.12,0,Intermedio,2,196,0.079674797,2264,0.920325203,2460,2518,30.06%,71.12%,No,No,0,0
BAHIA SOLANO,CHOCO,2353,17.09%,2264,32.39%,Santos,24.27%,2987,42.74%,Santos,7582,3.96,10.8,366.38,14.33,1.82,0,0.53,0,Intermedio,2,389,0.168690373,1917,0.831309627,2306,2350,30.99%,48.24%,No,No,0,0
BAJO BAUDO,CHOCO,3323,13.95%,2695,28.05%,Santos,22.16%,2527,26.30%,Santos,10197,7.6,26.68,865.03,6.91,0.86,0.17,0.06,0,Ninguno,0,233,0.078345662,2741,0.921654338,2974,3038,29.79%,81.98%,No,Si,131.16,0
BOJAYA,CHOCO,1818,24.11%,1091,16.57%,Santos,17.46%,2010,30.52%,Santos,6868,53.04,82.23,3527.61,35.03,1.29,0.49,0.59,0,Ninguno,0,87,0.042130751,1978,0.957869249,2065,2086,30.37%,49.61%,No,No,0,0
EL CANTON DE SAN PABLO,CHOCO,1962,24.28%,1347,31.65%,Santos,43.57%,1446,33.98%,Santos,4495,1.1,10.89,161.96,8.07,0.49,0.12,0.12,0,Alto,3,307,0.251022077,916,0.748977923,1223,1281,28.50%,56.46%,No,Si,47.82,0
CARMEN DEL DARIEN,CHOCO,1171,10.85%,1300,24.73%,Santos,10.95%,2292,43.60%,Santos,5537,5.28,35.51,2951.93,36.6,1.82,1.09,1.27,0,Alto,3,58,0.043026706,1290,0.956973294,1348,1368,24.71%,76.03%,No,Si,48.14,0
CERTEGUI,CHOCO,1631,20.73%,1505,37.22%,Santos,38.56%,1691,41.82%,Santos,4109,0,2.77,48.87,3.86,0.69,0.1,0.3,0,Ninguno,0,382,0.235802469,1238,0.764197531,1620,1709,41.59%,38.04%,No,No,0,0
CONDOTO,CHOCO,3603,21.76%,2725,26.80%,Santos,59.13%,3088,30.37%,Zuluaga,10526,0.74,18.41,405.67,14.7,1.08,0.34,0.07,0,Intermedio,2,863,0.273187718,2296,0.726812282,3159,3344,31.77%,29.65%,No,Si,20.57,0
EL CARMEN DE ATRATO,CHOCO,1322,27.17%,1840,33.12%,Santos,49.55%,2236,40.24%,Zuluaga,5918,1.68,26.87,637.35,32.26,2.66,0.35,0.84,0,Intermedio,2,799,0.436135371,1033,0.563864629,1832,1903,32.16%,51.97%,No,No,0,0
EL LITORAL DEL SAN JUAN,CHOCO,2666,2.32%,1549,22.53%,Santos,3.50%,2743,39.89%,Santos,7257,2.24,28.62,793.2,5.83,0.45,0.32,0.26,0,Intermedio,2,135,0.05107832,2508,0.94892168,2643,2811,38.74%,91.22%,No,Si,37.98,0
ISTMINA,CHOCO,6319,22.11%,5680,28.19%,Santos,52.31%,6288,31.21%,Zuluaga,21319,6.31,34.01,669.19,27.16,0.94,0.43,0.2,0,Alto,3,1679,0.296172164,3990,0.703827836,5669,5912,27.73%,20.81%,No,Si,303.11,0
JURADO,CHOCO,554,28.24%,648,22.61%,Santos,30.69%,896,31.26%,Santos,3049,3.34,18.21,1519.27,62.22,2.73,0.91,0.61,0,Alto,3,144,0.198895028,580,0.801104972,724,744,24.40%,51.36%,No,No,0,0
LLORO,CHOCO,1582,20.85%,2484,33.58%,Santos,29.19%,2405,32.51%,Santos,7605,6.38,20.83,731.48,11.43,1.24,1.06,0.09,0,Intermedio,2,435,0.169722981,2128,0.830277019,2563,2666,35.06%,69.82%,No,No,0,0
MEDIO ATRATO,CHOCO,1415,12.12%,1262,22.26%,Santos,18.45%,1832,32.31%,Santos,5663,3.87,12.01,358.02,5.71,1.31,0.3,0.03,0,Ninguno,0,93,0.04155496,2145,0.95844504,2238,2252,39.77%,96.31%,No,No,0,0
MEDIO BAUDO,CHOCO,2829,21.49%,1871,26.56%,Santos,36.46%,2035,28.89%,Santos,7639,7.71,58.33,676.36,5.67,0.51,0.15,0,0,Alto,3,187,0.068049491,2561,0.931950509,2748,2787,36.48%,95.47%,No,No,0,0
MEDIO SAN JUAN,CHOCO,2743,10.13%,2083,28.24%,Santos,29.40%,1051,14.25%,Santos,7475,3.06,27.09,461.52,11.39,0.42,0.06,0,0,Alto,3,411,0.137412237,2580,0.862587763,2991,3081,41.22%,64.74%,No,Si,134.81,0
NOVITA,CHOCO,1578,29.59%,1254,24.81%,Zuluaga,63.53%,1031,20.40%,Zuluaga,5232,1.63,27.65,637.13,20.61,1.51,2.89,1.01,0,Alto,3,423,0.258715596,1212,0.741284404,1635,1739,33.24%,60.36%,No,Si,304.9,0
NUQUI,CHOCO,1564,12.81%,1265,23.95%,Santos,16.94%,1777,33.64%,Santos,5413,2.54,29.42,402.05,10.84,0.92,0.35,0.12,0,Intermedio,2,103,0.067807768,1416,0.932192232,1519,1543,28.51%,56.42%,No,Si,78.94,0
RIO IRO,CHOCO,1316,16.21%,1265,34.48%,Santos,32.13%,1270,34.61%,Santos,3839,0.81,12.17,297.68,4.46,0.91,0.3,0.3,0,Intermedio,2,115,0.088461538,1185,0.911538462,1300,1340,34.90%,83.63%,No,Si,14.05,0
RIO QUITO,CHOCO,2329,18.16%,2549,43.31%,Santos,33.02%,2953,50.18%,Santos,6144,0.11,14.68,445.93,1.54,0.33,0.22,0,0,Alto,3,578,0.227290602,1965,0.772709398,2543,2592,42.19%,71.28%,No,Si,2.59,0
RIOSUCIO,CHOCO,2420,9.66%,2878,22.37%,Santos,14.93%,4540,35.30%,Santos,13524,16.59,43.25,3329.05,38.13,2.18,0.48,0.52,0,Alto,3,345,0.090622537,3462,0.909377463,3807,3879,28.68%,70.86%,Si,Si,90.7,0
SAN JOSE DEL PALMAR,CHOCO,1215,13.95%,1290,31.50%,Santos,28.79%,1070,26.13%,Santos,4157,5.41,68.29,1651.26,133.67,4.37,2.91,1.25,0,Alto,3,308,0.298449612,724,0.701550388,1032,1101,26.49%,76.58%,No,Si,44.43,0
SIPI,CHOCO,841,21.88%,690,28.69%,Santos,63.19%,163,6.78%,Zuluaga,2467,22.7,33.2,1159.38,12.69,0,0.49,1.46,0,Alto,3,88,0.124645892,618,0.875354108,706,749,30.36%,91.42%,No,Si,91.25,0
TADO,CHOCO,4217,23.55%,4179,35.68%,Santos,44.23%,4762,40.66%,Santos,12777,4.11,21.39,693.61,30.98,1.84,1.11,0.68,0,Intermedio,2,1238,0.30432645,2830,0.69567355,4068,4281,33.51%,35.30%,No,Si,5.51,0
UNGUIA,CHOCO,2149,15.65%,1853,22.69%,Santos,39.34%,2351,28.79%,Santos,8348,1.98,21.1,1250.86,48.01,3.36,0.79,0.59,0,Intermedio,2,736,0.340425532,1426,0.659574468,2162,2204,26.40%,69.00%,No,Si,75.87,0
UNION PANAMERICANA,CHOCO,1881,24.70%,1814,37.07%,Santos,55.96%,2164,44.23%,Zuluaga,5046,0.92,6.05,43.6,9.95,0.51,0,0,0,Intermedio,2,381,0.213445378,1404,0.786554622,1785,1852,36.70%,56.41%,No,No,0,0
NEIVA,HUILA,77827,29.93%,99930,41.91%,Zuluaga,56.01%,111101,46.59%,Zuluaga,255422,1.02,4.1,41.6,6.33,0.24,0.1,0.1,0,Bajo,1,58666,0.54446909,49083,0.45553091,107749,109294,42.79%,5.78%,No,No,0,0
ACEVEDO,HUILA,7053,81.23%,8958,51.88%,Zuluaga,92.46%,10537,61.02%,Zuluaga,18437,1.43,14.52,202.15,25.91,0.15,0.06,0.27,0,Ninguno,0,4658,0.764860427,1432,0.235139573,6090,6214,33.70%,80.84%,No,No,0,0
AGRADO,HUILA,2385,33.73%,2683,43.56%,Zuluaga,69.98%,3378,54.85%,Zuluaga,6804,0,5.38,34.46,3.4,0,0,0,0,Ninguno,0,1849,0.678781204,875,0.321218796,2724,2779,40.84%,41.73%,No,No,0,0
AIPE,HUILA,4348,41.24%,4808,32.96%,Zuluaga,63.27%,6191,42.44%,Zuluaga,14967,0.48,10.84,108.12,8.76,0.15,0.15,0.15,0,Ninguno,0,2917,0.539386095,2491,0.460613905,5408,5537,36.99%,37.08%,No,No,0,0
ALGECIRAS,HUILA,4211,42.89%,4498,33.24%,Zuluaga,52.73%,5773,42.67%,Zuluaga,14338,5.78,39.77,619.64,58.25,1.1,1.42,2.56,0,Bajo,1,2306,0.455101638,2761,0.544898362,5067,5234,36.50%,36.89%,No,Si,0,5.8
ALTAMIRA,HUILA,1031,41.64%,1059,37.29%,Zuluaga,65.63%,1388,48.87%,Zuluaga,2991,0.69,2.51,62.6,17.36,0.91,0.23,0,0,Ninguno,0,561,0.561,439,0.439,1000,1016,33.97%,32.46%,No,No,0,0
BARAYA,HUILA,1765,43.00%,1786,30.30%,Zuluaga,61.25%,2413,40.93%,Zuluaga,5983,2.28,40.81,574.17,58.42,0.83,1.35,4.14,0,Intermedio,2,1057,0.467079099,1206,0.532920901,2263,2307,38.56%,47.61%,No,Si,0,1
CAMPOALEGRE,HUILA,7984,38.95%,8599,36.47%,Zuluaga,63.95%,10575,44.85%,Zuluaga,24718,2.15,7.75,98.72,17.29,0.32,0.06,0.06,0,Ninguno,0,6134,0.616792358,3811,0.383207642,9945,10181,41.19%,24.33%,No,No,0,0
COLOMBIA,HUILA,2771,57.27%,2413,37.09%,Zuluaga,75.10%,2851,43.83%,Zuluaga,6752,4.23,37.43,760.18,26.82,0.8,0.32,3.27,0,Intermedio,2,1431,0.600503567,952,0.399496433,2383,2442,36.17%,79.62%,No,Si,0,2.7
ELIAS,HUILA,1423,62.58%,1339,47.26%,Zuluaga,84.55%,1638,57.82%,Zuluaga,3169,0,4.26,31.34,16.55,0,0,0,0,Ninguno,0,682,0.513941221,645,0.486058779,1327,1355,42.76%,68.18%,No,No,0,0
GARZON,HUILA,17068,43.56%,19483,39.73%,Zuluaga,77.24%,23853,48.64%,Zuluaga,51641,0.31,5.8,78.58,8.79,0.29,0.02,0.06,0,Bajo,1,12101,0.65563201,6356,0.34436799,18457,18902,36.60%,51.98%,No,No,0,0
GIGANTE,HUILA,5624,51.72%,7078,39.56%,Zuluaga,77.23%,8725,48.76%,Zuluaga,18633,1.59,13.29,167.67,15.18,0.32,0.09,0.09,0,Bajo,1,4263,0.615062762,2668,0.384937238,6931,7184,38.56%,46.26%,No,No,0,0
GUADALUPE,HUILA,4226,59.74%,4948,42.82%,Zuluaga,85.63%,6360,55.04%,Zuluaga,12391,0.55,9.84,102.65,11.36,0.14,0.09,0.05,0,Ninguno,0,3132,0.70177011,1331,0.29822989,4463,4581,36.97%,75.59%,No,No,0,0
HOBO,HUILA,1625,49.90%,1972,37.10%,Zuluaga,73.98%,2633,49.54%,Zuluaga,5571,1.58,11.06,159.41,27.14,0.43,0,0.14,0,Ninguno,0,1250,0.554323725,1005,0.445676275,2255,2313,41.52%,23.04%,No,No,0,0
IQUIRA,HUILA,2740,38.66%,2889,44.29%,Zuluaga,71.51%,3535,54.19%,Zuluaga,6862,0.54,54.87,265.84,20.14,0.08,0.62,0,0,Ninguno,0,1727,0.608741628,1110,0.391258372,2837,2901,42.28%,81.00%,No,No,0,0
ISNOS,HUILA,5041,54.79%,8549,49.91%,Zuluaga,78.63%,9768,57.03%,Zuluaga,18179,2.04,28.12,203.09,28.38,0.65,0.11,0.76,0,Bajo,1,5426,0.726663988,2041,0.273336012,7467,7723,42.48%,78.52%,No,No,0,0
LA ARGENTINA,HUILA,3309,38.07%,3688,39.20%,Zuluaga,79.74%,4738,50.36%,Zuluaga,9990,1.4,20.18,141.13,13.38,0.21,0.14,0.14,0,Bajo,1,1603,0.55390463,1291,0.44609537,2894,3009,30.12%,65.64%,No,No,0,0
LA PLATA,HUILA,12876,51.64%,15011,39.19%,Zuluaga,77.09%,18487,48.26%,Zuluaga,40433,0.49,9.56,94.72,9.1,0.24,0.09,0.02,0,Bajo,1,9191,0.672545002,4475,0.327454998,13666,13985,34.59%,58.86%,No,No,0,0
NATAGA,HUILA,1635,56.37%,1877,45.14%,Zuluaga,81.58%,2259,54.33%,Zuluaga,4497,1.25,24.11,224.52,21.76,0,0.16,0,0,Bajo,1,1124,0.650462963,604,0.349537037,1728,1770,39.36%,65.64%,No,No,0,0
OPORAPA,HUILA,3047,79.55%,3980,56.91%,Zuluaga,92.41%,4582,65.52%,Zuluaga,7370,0.58,7.52,116.23,15.91,0.14,0,0,0,Ninguno,0,2246,0.726155836,847,0.273844164,3093,3174,43.07%,71.44%,No,No,0,0
PAICOL,HUILA,2142,54.39%,1958,43.39%,Zuluaga,88.61%,2635,58.39%,Zuluaga,4738,0.18,3.03,24.79,5.89,0,0,0,0,Ninguno,0,1522,0.715898401,604,0.284101599,2126,2175,45.91%,56.80%,No,No,0,0
PALERMO,HUILA,7137,40.50%,7165,36.08%,Zuluaga,69.73%,9303,46.84%,Zuluaga,20533,0.27,6.2,57.24,5.99,0.21,0.06,0.12,0,Bajo,1,4814,0.623979261,2901,0.376020739,7715,7831,38.14%,51.88%,No,No,0,0
PALESTINA,HUILA,3037,66.96%,3671,45.43%,Zuluaga,86.68%,4386,54.28%,Zuluaga,8509,0.68,6.93,80.74,19.5,0,0,0,0,Ninguno,0,1876,0.62078094,1146,0.37921906,3022,3120,36.67%,82.07%,No,No,0,0
PITAL,HUILA,3345,42.00%,3724,41.97%,Zuluaga,83.90%,4765,53.71%,Zuluaga,9123,0.29,7.55,54.22,9.07,0.58,0.07,0,0,Ninguno,0,2565,0.716280369,1016,0.283719631,3581,3658,40.10%,63.33%,No,No,0,0
PITALITO,HUILA,27128,56.27%,35055,42.80%,Zuluaga,79.78%,40351,49.27%,Zuluaga,89760,0.72,6.09,70.16,25.73,0.35,0.03,0.04,0,Ninguno,0,19996,0.652270355,10660,0.347729645,30656,31240,34.80%,40.58%,No,No,0,0
RIVERA,HUILA,5583,32.33%,5753,37.24%,Zuluaga,59.13%,7023,45.46%,Zuluaga,16199,0.53,7.27,80.56,13.64,0.26,0,0,0,Ninguno,0,3446,0.541398272,2919,0.458601728,6365,6495,40.10%,43.39%,No,No,0,0
SALADOBLANCO,HUILA,3497,81.58%,4306,53.56%,Zuluaga,91.68%,5110,63.57%,Zuluaga,8635,2.16,15.72,143.7,22.45,0,0,0.17,0,Ninguno,0,1936,0.576877235,1420,0.423122765,3356,3447,39.92%,76.00%,No,No,0,0
SAN AGUSTIN,HUILA,7967,50.53%,10238,46.29%,Zuluaga,76.89%,12078,54.60%,Zuluaga,23344,1.42,15.45,156.89,20.45,0.87,0.09,0.6,0,Bajo,1,5652,0.673418325,2741,0.326581675,8393,8630,36.97%,65.53%,No,No,0,0
SANTA MARIA,HUILA,2856,68.67%,3785,50.36%,Zuluaga,88.55%,4105,54.62%,Zuluaga,7921,2.27,19.21,213.39,9.34,0.17,0.26,0.61,0,Bajo,1,2318,0.711697881,939,0.288302119,3257,3330,42.04%,71.81%,No,No,0,0
SUAZA,HUILA,3754,63.82%,4591,42.28%,Zuluaga,85.04%,6121,56.37%,Zuluaga,11911,0.56,9.7,108.39,12.06,0.26,0.15,0.15,0,Ninguno,0,2183,0.680062305,1027,0.319937695,3210,3307,27.76%,77.08%,No,No,0,0
TARQUI,HUILA,5085,50.14%,4735,43.07%,Zuluaga,81.14%,6060,55.12%,Zuluaga,11492,0.51,6.98,142.43,20.89,0.28,0,0,0,Ninguno,0,3015,0.678748312,1427,0.321251688,4442,4532,39.44%,71.49%,No,No,0,0
TESALIA,HUILA,2823,53.20%,3158,41.99%,Zuluaga,84.99%,4085,54.32%,Zuluaga,7879,0.22,11.31,92.24,14.66,0.22,0,0,0,Ninguno,0,2559,0.764565282,788,0.235434718,3347,3431,43.55%,41.91%,No,No,0,0
TELLO,HUILA,3371,48.43%,3310,31.57%,Zuluaga,66.71%,4404,42.01%,Zuluaga,10814,1.54,30.76,340.62,19.97,0.56,0.49,1.26,0,Bajo,1,2120,0.527494402,1899,0.472505598,4019,4139,38.27%,53.71%,No,No,0,0
TERUEL,HUILA,2685,62.22%,2419,38.84%,Zuluaga,84.12%,3331,53.48%,Zuluaga,6481,0.34,10.13,109.37,14.34,0,0,0,0,Ninguno,0,1799,0.709105242,738,0.290894758,2537,2584,39.87%,49.99%,No,No,0,0
TIMANA,HUILA,5693,60.49%,6591,45.52%,Zuluaga,81.78%,8211,56.71%,Zuluaga,15078,0.59,5.5,62.7,17.25,0.44,0.1,0,0,Ninguno,0,4471,0.756258457,1441,0.243741543,5912,6041,40.06%,64.18%,No,No,0,0
VILLAVIEJA,HUILA,2987,30.23%,2332,36.31%,Zuluaga,51.45%,3182,49.54%,Zuluaga,6524,0.82,15.46,136.37,8.75,0.55,0,0,0,Ninguno,0,1086,0.423226812,1480,0.576773188,2566,2632,40.34%,66.40%,No,No,0,0
YAGUARA,HUILA,1977,31.24%,2817,43.00%,Zuluaga,67.58%,3229,49.29%,Zuluaga,6750,0.22,2.1,19.42,1.66,0,0,0,0,Ninguno,0,1802,0.613133719,1137,0.386866281,2939,2983,44.19%,15.25%,No,No,0,0
RIOHACHA,LA GUAJIRA,41777,19.65%,31711,31.63%,Santos,23.54%,42541,42.43%,Santos,111639,0.72,2.88,145.65,11.65,0.28,0.05,0.02,0,Ninguno,0,10092,0.364266378,17613,0.635733622,27705,28290,25.34%,15.20%,No,No,0,0
ALBANIA,LA GUAJIRA,6472,25.10%,4518,28.82%,Santos,25.68%,6367,40.62%,Santos,16633,0.04,2.14,63.43,5.9,0.11,0,0.07,0,Bajo,1,1655,0.414994985,2333,0.585005015,3988,4139,24.88%,49.89%,No,No,0,0
BARRANCAS,LA GUAJIRA,8812,24.35%,7002,30.27%,Santos,25.91%,9764,42.20%,Santos,23913,4.94,8.45,166.11,21.28,0.17,0,0,0,Ninguno,0,1806,0.283605528,4562,0.716394472,6368,6454,26.99%,49.46%,No,No,0,0
DIBULLA,LA GUAJIRA,8337,17.74%,5823,28.69%,Santos,19.63%,7871,38.78%,Santos,20549,1.2,21.09,832.72,26.41,0.76,0.09,0.09,0,Ninguno,0,1309,0.283640303,3306,0.716359697,4615,4732,23.03%,83.68%,No,No,0,0
DISTRACCION,LA GUAJIRA,3684,26.37%,2647,34.20%,Santos,25.72%,3842,49.64%,Santos,8243,0.06,9.79,72.24,15.68,1.12,0,0,0,Ninguno,0,892,0.359822509,1587,0.640177491,2479,2522,30.60%,66.40%,No,No,0,0
